fixedacidity volatileacidity citricacid residualsugar chlorides freesulfurdioxide totalsulfurdioxide density pH sulphates alcohol y
7.3 0.32 0.35 1.4 0.05 8 163 0.99244 3.24 0.42 10.7 1
7.3 0.26 0.31 1.6 0.04 39 173 0.9918 3.19 0.51 11.4 2
8.3 0.25 0.49 16.8 0.048 50 228 1.0001 3.03 0.52 9.2 2
7 0.16 0.73 1 0.138 58 150 0.9936 3.08 0.3 9.2 1
5.8 0.18 0.37 1.2 0.036 19 74 0.98853 3.09 0.49 12.7 3
6.5 0.28 0.34 9.9 0.038 30 133 0.9954 3.11 0.44 9.8 1
7.4 0.24 0.42 14 0.066 48 198 0.9979 2.89 0.42 8.9 2
7.3 0.29 0.37 8.3 0.044 45 227 0.9966 3.12 0.47 9 1
7.7 0.28 0.29 6.9 0.041 29 163 0.9952 3.44 0.6 10.5 2
5.7 0.22 0.22 16.65 0.044 39 110 0.99855 3.24 0.48 9 2
5.8 0.32 0.31 2.7 0.049 25 153 0.99067 3.44 0.73 12.2 3
5.7 0.21 0.37 4.5 0.04 58 140 0.99332 3.29 0.62 10.6 2
8.2 0.28 0.42 1.8 0.031 30 93 0.9917 3.09 0.39 11.4 1
6.9 0.32 0.16 1.4 0.051 15 96 0.994 3.22 0.38 9.5 1
6.4 0.44 0.44 14.4 0.048 29 228 0.99955 3.26 0.54 8.8 3
6.4 0.21 0.21 5.1 0.097 21 105 0.9939 3.07 0.46 9.6 1
6.1 0.4 0.18 9 0.051 28.5 259 0.9964 3.19 0.5 8.8 1
6.3 0.24 0.29 13.7 0.035 53 134 0.99567 3.17 0.38 10.6 2
6.7 0.34 0.31 16.4 0.051 20 146 0.99834 3.06 0.54 9.1 1
7.1 0.43 0.25 2.8 0.036 43 132 0.98975 3.21 0.47 13.4 2
6.1 0.26 0.25 2.9 0.047 289 440 0.99314 3.44 0.64 10.5 1
7.1 0.18 0.36 1.4 0.043 31 87 0.9898 3.26 0.37 12.7 3
6.3 0.34 0.19 5.8 0.041 22 145 0.9943 3.15 0.63 9.9 1
7.2 0.2 0.61 16.2 0.043 14 103 0.9987 3.06 0.36 9.2 2
6.4 0.26 0.25 10.7 0.046 66 179 0.99606 3.17 0.55 9.9 2
6.4 0.23 0.39 1.8 0.032 23 118 0.9912 3.32 0.5 11.8 2
7.3 0.29 0.3 13 0.043 46 238 0.9986 3.06 0.41 8.7 2
5 0.3 0.33 3.7 0.03 54 173 0.9887 3.36 0.3 13 3
7.1 0.37 0.67 10.5 0.045 49 155 0.9975 3.16 0.44 8.7 1
6.3 0.3 0.34 1.6 0.049 14 132 0.994 3.3 0.49 9.5 2
4.8 0.13 0.32 1.2 0.042 40 98 0.9898 3.42 0.64 11.8 3
6.5 0.2 0.35 3.9 0.04 27 140 0.99102 2.98 0.53 11.8 2
6.7 0.21 0.34 1.4 0.049 36 112 0.99091 3.02 0.5 11 2
7 0.35 0.3 6.5 0.028 27 87 0.9936 3.4 0.42 11.4 3
6.9 0.22 0.32 5.8 0.041 20 119 0.99296 3.17 0.55 11.2 2
7 0.24 0.24 9 0.03 42 219 0.99636 3.47 0.46 10.2 2
5.6 0.19 0.27 0.9 0.04 52 103 0.99026 3.5 0.39 11.2 1
7.5 0.28 0.41 1.3 0.044 11 126 0.99293 3.28 0.45 10.3 1
6.3 0.21 0.31 1.2 0.043 30 117 0.99158 3.49 0.68 11 2
5.9 0.65 0.23 5 0.035 20 128 0.99016 3.46 0.48 12.8 2
6.5 0.22 0.19 1.1 0.064 36 191 0.99297 3.05 0.5 9.5 2
6.5 0.26 0.24 10.8 0.042 47 130 0.996 3.08 0.4 10.1 2
5.8 0.27 0.4 1.2 0.076 47 130 0.99185 3.13 0.45 10.3 2
6.3 0.23 0.3 1.8 0.033 16 91 0.9906 3.28 0.4 11.8 2
7 0.23 0.26 7.2 0.041 21 90 0.99509 3.22 0.55 9.5 2
8.2 0.21 0.48 1.4 0.041 11 99 0.9958 3.17 0.57 9.9 1
7.2 0.32 0.3 8.25 0.02 14 104 0.99362 2.99 0.44 11.4 2
7.1 0.14 0.35 1.4 0.039 24 128 0.99212 2.97 0.68 10.4 1
4.8 0.26 0.23 10.6 0.034 23 111 0.99274 3.46 0.28 11.5 3
6.9 0.23 0.35 6.9 0.03 45 116 0.99244 2.8 0.54 11 2
6.4 0.26 0.26 1.1 0.052 22 176 0.99304 3.09 0.54 9.3 1
6.1 0.24 0.26 1.7 0.033 61 134 0.9903 3.19 0.81 11.9 3
7.1 0.15 0.34 5.3 0.034 33 104 0.9953 3.37 0.52 9.3 3
6.8 0.18 0.3 12.8 0.062 19 171 0.99808 3 0.52 9 3
7.5 0.25 0.47 4.1 0.041 95 163 0.99184 2.92 0.59 11.3 2
6.6 0.17 0.35 2.6 0.03 33 78 0.99146 3.22 0.72 11.3 2
6.8 0.27 0.3 13 0.047 69 160 0.99705 3.16 0.5 9.6 2
